"Species","Family","Phylum","Taxo_for_fig","Number_of_Individuals","Contigs_number","Average_length_of_contigs","SNP_number","piS","piN","piNpiS","Fit","Invasive_status","Maximal_Geoographic_Distance","Mean_Geographic_Distance","Mean_Distance_From_Equator",adult_size,mass,longevity,propagule_size,fecundity
"Artemia_salina","Artemiidae","Arthropoda","Arthropods",2,10239,152,17335,0.0059074,0.00103201,0.174699,0.52476,0,15862258.4133176,6039055.69633568,31.634328381,1,0.004,4,0.051,40
"Artemia_sinica","Artemiidae","Arthropoda","Arthropods",2,8865,143,13527,0.00492781,0.00108834,0.220858,-0.0648536,0,0,0,35.026412,1,0.004,4,0.051,40
"Artemia_tibetana","Artemiidae","Arthropoda","Arthropods",2,9018,141,14589,0.00535856,0.00114567,0.213801,-0.0619925,0,0,0,32.05,1,0.004,4,0.051,40
"Bostrycapulus_aculeatus","Calyptraeidae","Mollusca","Molluscs",2,3025,137,53288,0.0834581,0.00687903,0.082425,0.430603,0,18351069.7205869,5402366.34902977,27.940921644,2.5,NA,NA,0.084,NA
"Caenorhabditis_brenneri","Rhabditidae","Nematoda","Other",10,972,65,10574,0.032215,0.0012752,0.039584,0.159726,0,18548390.6369338,8512714.22935753,5.1245126083,0.15,0.00000512,0.16,0.0052,77.8
"Caenorhabditis_sp.10","Rhabditidae","Nematoda","Other",2,1821,89,11329,0.049318,0.00252804,0.0512601,-0.15632,0,35133.4914586972,17566.7457293486,9.5702026,0.15,0.00000512,0.16,0.0052,77.8
"Callithrix_jacchus","Cebidae","Chordata","Vertebrates",4,2550,109,1288,0.0015103,0.00029732,0.196861,-0.196721,1,NA,NA,NA,13.5,255,22.8,9.42,0.011
"Camponotus_aethiops","Formicidae","Arthropoda","Arthropods",2,7064,257,12524,0.00332756,0.000763558,0.229465,-0.258939,0,505854.373823627,252927.186911814,44.54369585,1.4,NA,26,1.4,0.266
"Camponotus_ligniperdus","Formicidae","Arthropoda","Arthropods",4,5333,173,4462,0.00164517,0.000411326,0.250021,-0.2279,0,2110292.07949836,744254.362893909,55.7438202532,1.9,NA,26,1.9,0.266
"Carcinus_aestuarii","Carcinidae","Arthropoda","Arthropods",2,5064,192,14927,0.00871331,0.0011467,0.131604,-0.140233,0,10770703.7269961,2456076.94880781,39.4224012627,2.79,8.05,7,0.136,348
"Chelonoidis_nigra","Testudinidae","Chordata","Vertebrates",5,1805,103,1759,0.00163381,0.000612667,0.374993,-0.104151,0,16697851.4913511,766530.842276402,0.7022086694,110,175000,177,6.7,0.0274
"Chlorocebus_aethiops","Cercopithecidae","Chordata","Vertebrates",4,2983,118,3758,0.00349159,0.000620227,0.177634,-0.123344,0,NA,NA,NA,50,5620,30.1,28.5,0.0027
"Ciona_intestinalis_A","Cionidae","Chordata","Other",10,2989,72,13922,0.0153244,0.00167996,0.109627,0.0578054,1,17687003.1342294,1977029.80395023,53.2026049518,15.5,29.7,3,0.016,1000
"Ciona_intestinalis_B","Cionidae","Chordata","Other",10,2722,74,42351,0.0533579,0.00297222,0.0557034,0.109717,1,17758566.4284904,1968638.43795712,53.2383425927,15.5,29.7,3,0.016,1000
"Crepidula_fornicata","Calyptraeidae","Mollusca","Molluscs",8,2858,115,31384,0.0225892,0.0019975,0.0884274,0.144093,1,18328725.6156706,2384391.80443539,47.963847531,3.5,2.1,10,0.0182,548
"Crepidula_plana","Calyptraeidae","Mollusca","Molluscs",2,1651,166,11518,0.0250816,0.0025782,0.102792,-0.0894611,0,18794871.5475561,1790521.31386773,35.5538042248,1,NA,2,0.0136,3.29
"Culex_hortensis","Culicidae","Arthropoda","Arthropods",2,13133,90,58034,0.0327737,0.00172608,0.0526667,0.000231031,0,3967011.59096697,595549.346388825,34.3377003819,0.5,0.0025,0.205,0.08,100
"Culex_pipiens","Culicidae","Arthropoda","Arthropods",10,3290,111,84967,0.0412972,0.00112016,0.0271243,0.418858,0,18727447.1131568,3121366.14704894,38.5432367286,0.5,0.0025,0.205,0.08,100
"Culex_torrentium","Culicidae","Arthropoda","Arthropods",2,10630,126,34825,0.0163186,0.0012241,0.0750124,-0.0185666,0,1884354.71261585,264341.511513314,52.0308795762,0.5,0.0025,0.205,0.08,100
"Cystodytes_dellechiajei_blue","Polycitoridae","Chordata","Other",2,12704,180,142132,0.0356235,0.00596127,0.167341,0.730887,0,19652366.6803514,6897655.82085272,12.229666209,0.5,0.000903,NA,0.1,NA
"Cystodytes_dellechiajei_purple","Polycitoridae","Chordata","Other",5,9322,99,109045,0.0423533,0.00565209,0.133451,0.600973,0,19652366.6803514,6897655.82085272,12.229666209,0.5,0.000903,NA,0.1,NA
"Echinocardium_cordatum_B2","Loveniidae","Echinodermata","Echinoderms",7,8608,71,121585,0.0523593,0.00348659,0.0665897,0.0227751,0,19728516.06562,2858191.58109581,48.2777110484,6.5,38,10,0.0075,2740
"Echinocardium_mediterraneum","Loveniidae","Echinodermata","Echinoderms",7,7232,100,64653,0.0210419,0.00215052,0.102202,0.00932114,0,2206505.07755704,833290.242475757,42.187790825,4.5,38,10,0.0075,2740
"Emys_orbicularis","Emydidae","Chordata","Vertebrates",10,2029,76,3402,0.00411023,0.000553684,0.134709,0.344851,0,10565561.616955,981673.90625304,43.0325431144,25,977,120,2,0.0877
"Eudyptes_filholi","Spheniscidae","Chordata","Vertebrates",4,1497,159,2749,0.00424895,0.000537389,0.126476,-0.0291077,0,8184382.8828419,1856885.98937934,54.2044437714,55,2500,29,55,0.0055
"Eudyptes_moseleyi","Spheniscidae","Chordata","Vertebrates",4,1839,146,2331,0.00296217,0.000453794,0.153196,-0.0208097,0,18592738.1320884,5204800.0623082,23.9962060077,55,2500,29,55,0.0055
"Eulemur_coronatus","Lemuridae","Chordata","Vertebrates",4,2700,111,2765,0.0034089,0.000556144,0.163145,-0.136938,0,NA,NA,NA,34,2500,27,31.4,0.0041
"Eulemur_mongoz","Lemuridae","Chordata","Vertebrates",4,2566,109,2215,0.00296415,0.000472021,0.159243,-0.081701,0,NA,NA,NA,35,2060,36.2,32.3,0.003
"Eunicella_cavolinii","Gorgoniidae","Cnidaria","Other",8,7170,51,23417,0.01249,0.00160645,0.128618,0.304238,0,2098873.04581293,857730.307891474,40.8247432093,30,NA,100,0.25,33.1
"Eunicella_verrucosa","Gorgoniidae","Cnidaria","Other",2,12040,103,31628,0.0146539,0.00185025,0.126263,-0.0109251,0,6093482.16951184,270354.551315249,50.3727724427,37.5,NA,100,0.25,33.1
"Galago_senegalensis","Galagidae","Chordata","Vertebrates",4,1522,74,1324,0.00392943,0.000623907,0.158778,-0.133047,0,NA,NA,NA,13,192,17.1,10.5,0.0082
"Halictus_scabiosae","Halictidae","Arthropoda","Arthropods",11,3287,99,3779,0.00211062,0.000260425,0.123388,0.0275652,0,2754140.37263147,367194.735735161,48.7748134389,1.5,0.093,1,1.5,NA
"Hippocampus_guttulatus","Syngnathidae","Chordata","Vertebrates",6,9678,109,7099,0.00162526,0.000384113,0.236339,0.12962,0,18656046.1526121,2811907.4063277,36.0528109713,13.3,4.76,7,1.2,2.47
"Hippocampus_hippocampus","Syngnathidae","Chordata","Vertebrates",2,11697,204,20906,0.00402748,0.000861628,0.213937,-0.0534427,0,18998392.336364,2278482.45847911,41.8368744515,10,1.85,7,1.2,2.47
"Hippocampus_kuda","Syngnathidae","Chordata","Vertebrates",2,17078,271,14052,0.00118422,0.000410586,0.346715,-0.417884,0,18816246.5557847,6599669.11067154,0.0699891457,12,3.41,7,0.7,2.47
"Homo_sapiens","Hominidae","Chordata","Vertebrates",4,2671,118,1935,0.00177813,0.000422885,0.237826,-0.124156,1,NA,NA,NA,163,62000,123,93.4,0.0016
"Leptogorgia_sarmentosa","Gorgoniidae","Cnidaria","Other",2,13702,97,45353,0.0207234,0.002104,0.101528,0.0105911,0,16478650.1142486,2908768.19487288,27.3932023037,40,NA,NA,0.019,NA
"Lepus_granatensis","Leporidae","Chordata","Vertebrates",10,2504,85,4770,0.00397721,0.000512409,0.128836,0.022117,0,1107879.64901227,338568.031144583,39.7464607946,45.9,2440,18,31.6,0.0198
"Lineus_lacteus","Lineidae","Nemertea","Other",2,5361,152,31780,0.0232716,0.0026178,0.112489,-0.0440374,0,0,0,42.48343,17.5,NA,NA,0.02,NA
"Lineus_longissimus","Lineidae","Nemertea","Other",6,3852,106,26622,0.0177877,0.0015871,0.0892245,-0.01569,0,1462648.4442759,395142.979343726,54.9350419127,1000,NA,NA,0.02,NA
"Lineus_ruber","Lineidae","Nemertea","Other",2,5255,142,15669,0.00963977,0.00232305,0.240987,-0.0510394,0,6150473.70367005,763056.367698509,53.7364758673,5,NA,NA,0.5,NA
"Liocarcinus_depurator","Carcinidae","Arthropoda","Arthropods",2,5252,186,23379,0.0148552,0.00126285,0.0850111,-0.0504474,0,7269774.49208259,567737.284469484,54.7383391594,5.1,NA,4,0.129,630
"Macaca_mulatta","Cercopithecidae","Chordata","Vertebrates",4,3002,116,3951,0.00395863,0.000624464,0.157748,-0.0518119,1,NA,NA,NA,55.5,8240,40,31.1,0.0023
"Melitaea_cinxia","Nymphalidae","Arthropoda","Arthropods",10,4272,67,43631,0.0342226,0.00320756,0.0937264,0.516966,0,12224785.5848554,812922.085055415,52.8530831783,3.96,0.165,1,0.0556,95.2
"Melitaea_didyma","Nymphalidae","Arthropoda","Arthropods",2,4181,132,28434,0.0307243,0.00349029,0.1136,-0.0144966,0,8855346.06897235,588576.298617851,47.0928389877,4.4,0.165,1,0.0713,95.2
"Mellicta_athalia","Nymphalidae","Arthropoda","Arthropods",2,2843,130,16857,0.0268667,0.00316704,0.11788,0.0603555,0,13864669.2238737,1301616.37079394,47.6508730082,3.9,0.165,1,0.0644,95.2
